#DocumentKey;#3000;#3100;#31nn;#3140;#3160;#3162;#3180;#3189;#3200;#3248;#3300;#8566;#99fm
kue     00050382;50382;Adams, Edward T.;Edward T. Adams;m;Bürgertum;Fotograf;1901-3000;"Urheberrecht (Nachweis bis 3000; Name unvollständig)";Vereinigte Staaten;US-amerikanisch;1901;nicht VG BILD-KUNST r.V.,2012;AKL 00
kue     02530645;2530645;Adamo, Max;Max Adamo;m;Bürgertum;Maler & Illustrator;1852-1901;gemeinfrei;Deutschland;deutsch;;;
kue     04011001;4011001;Adamson, Robert;Robert Adamson;m;;Fotograf;1836-1848;gemeinfrei;England;englisch;;;AKL 00
kue     04020003;4020003;Adamson, Prescott;Prescott Adamson;m;;Fotograf;1901-1904;Urheberrecht? (Nachweis bis 1904);Vereinigte Staaten;US-amerikanisch;1901;;AKL 00
kue     05110039;5110039;Adams, Ansel;Ansel Adams;m;;Fotograf;1917-1984;Urheberrecht (1984 gestorben);Vereinigte Staaten;US-amerikanisch;;nicht VG BILD-KUNST r.V.,2011;
kue     08003836;8003836;Adams, ? (1601/1700);? Adams;;;Zeichner;1601/1700;gemeinfrei;Italien;italienisch;;;
kue     08120462;8120462;Adamos, Carlo;Carlo Adamos;m;;Bildhauer;1801-1900;Urheberrecht? (Nachweis bis 1900);Italien;italienisch;1801/1900;;AKL-Texteinspielung. Strukturdaten noch abgleichen.
kue     10010155;10010155;Adams, Katherine Langhorne;Katherine Langhorne Adams;f;Bürgertum;Malerin & Bildhauerin;1922-1936;gemeinfrei;Vereinigte Staaten;US-amerikanisch;1922;;Diskus AKL-Texteinspielung. Strukturdaten noch abgleichen.
kue     10010167;10010167;Adams, Mac;Mac Adams;m;;Fotograf & Environmentkünstler;1958-3000;Urheberrecht (Nachweis bis 3000);England;englisch;;nicht VG BILD-KUNST r.V.,2012;AKL-Texteinspielung. Strukturdaten noch abgleichen.
kue     11000731;11000731;Adams, William L. (1842);William L. Adams;m;;Silberschmied;1842-1850;gemeinfrei (Name unvollständig);Vereinigte Staaten;US-amerikanisch;1842;;
kue     11000754;11000754;Adamsson, Johan Fredrik;Johan Fredrik Adamsson;m;;Uhrmacher;1750-1752;gemeinfrei;Schweden;schwedisch;1750;;
kue     11000761;11000761;Adan, H.;H. Adan;m;;Maler;1851-1900;"Urheberrecht? (Nachweis bis 1900; Name unvollständig)";Frankreich?;französisch?;1851;;
kue     11001053;11001053;Adams, J. (1770);J. Adams;m;;Stecher;1770-1810;gemeinfrei (Name unvollständig);Vereinigte Staaten;US-amerikanisch;1770;;
kue     14000251;14000251;Adams, John Quincy;John Quincy Adams;m;Bürgertum;Maler & Gebrauchsgraphiker;1889-1933;gemeinfrei;Österreich;österreichisch;;;Überarbeitung erforderlich
kue     20010515;20010515;Adams, Jimmy;Jimmy Adams;m;Bürgertum;Regisseur;1920-1929;Urheberrecht? (Nachweis bis 1929);Vereinigte Staaten;US-amerikanisch;;;
kue     20033789;20033789;Adams, ? (1930);Adams (1930);m?;;Zeichner;1930;"Urheberrecht? (Nachweis bis 1930; Name unvollständig)";England;englisch;1930;;
kue     20037799;20037799;Adams, Anton;Anton Adams;m;;Architekt;1871-1915;gemeinfrei;Deutschland;deutsch;;;
kue     20080050;20080050;Adams, Ron;Ron Adams;m;;Drucker;1968-1974;Urheberrecht (Nachweis bis 1974);Vereinigte Staaten;US-amerikanisch;;nicht VG BILD-KUNST r.V.,2012;
kue     20080559;20080559;Adams, Eddie;Eddie Adams;m;;Fotograf;1968-3000;Urheberrecht (Nachweis bis 3000);Vereinigte Staaten;US-amerikanisch;;nicht VG BILD-KUNST r.V.,2012;
kue     20090160;20090160;Adams, F. W.;F. W. Adams;m;;Architekt;1903;"Urheberrecht? (Nachweis bis 1903; Name unvollständig)";Deutschland;deutsch;;;AKL 00
kue     20101123;20101123;Adams, Johann Rudolf;Johann Rudolf Adams;m;;Maler & Journalist;1835-1908;gemeinfrei;Deutschland & Russland;deutsch & russisch;;;
kue     20101124;20101124;Adamski, Hans Peter;Hans Peter Adamski;m;;Maler & Bildhauer & Graphiker;1962-3000;Urheberrecht (Nachweis bis 3000);Deutschland;deutsch;;VG BILD-KUNST r.V.;
kue     20101153;20101153;Adams, ? (1816);Adams (1816);m?;;Lithograph & Zeichner;1816-1822;gemeinfrei (Name unvollständig);Deutschland;deutsch;1816;;
kue     20101154;20101154;Adams, George William;George William Adams;m;;Goldschmied & Entwerfer;1823-1895;gemeinfrei;England;englisch;;;
kue     20131351;20131351;Adams-Acton, John;John Adams-Acton;m;;Bildhauer;1845-1910;gemeinfrei;England;englisch;;;
kue     20222356;20222356;Adamolli, Luigi;Luigi Adamolli;m;;Bildhauer & Plastiker;1810;gemeinfrei;Italien;italienisch;;;
kue     20227094;20227094;Adamscheck, G.;G. Adamscheck;m;;Kupferstecher & Grafiker;1751/1800;gemeinfrei (Name unvollständig);Österreich;österreichisch;;;AKL-Künstler-ID: _10040020
